fir_id,crime_type,district,police_station,fir_date,crime_time,status,criminal_id,victim_id,investigating_officer
FIR000015,Robbery,Tumakuru,Tumakuru Rural,2023-11-07,06:36:39,Under Investigation,CR00054,VI00988,Inspector Tumakuru Rural
FIR000016,Theft,Bengaluru Urban,Electronic City,2025-05-19,10:11:27,Pending,CR01095,VI03143,Inspector Electronic City
FIR000017,Domestic Violence,Vijayanagara,Vijayanagara Rural,2023-07-19,02:45:15,Pending,CR02133,VI01468,Inspector Vijayanagara Rural
FIR000018,Burglary,Ballari,Ballari East,2022-03-13,01:21:29,Pending,CR02171,VI00966,Inspector Ballari East
FIR000019,Cyber Crime,Yadgir,Yadgir Town,2023-09-27,18:03:04,Open,CR02445,VI00846,Inspector Yadgir Town
FIR000020,Traffic Violation,Bengaluru Urban,Cubbon Park,2025-01-30,11:06:44,Closed,CR02651,VI04549,Inspector Cubbon Park
FIR000021,Assault,Chamarajanagar,Chamarajanagar Town,2023-07-26,14:45:50,Under Investigation,CR00554,VI03827,Inspector Chamarajanagar Town
FIR000022,Cyber Crime,Uttara Kannada,Uttara Kannada Town,2022-06-13,14:37:51,Escalated,CR00815,VI02978,Inspector Uttara Kannada Town
FIR000023,Theft,Koppal,Koppal Town,2024-02-08,02:03:42,Pending,CR00992,VI03979,Inspector Koppal Town
FIR000024,Burglary,Hassan,Hassan East,2025-05-14,09:06:06,Escalated,CR02473,VI04122,Inspector Hassan East
FIR000025,Cyber Crime,Uttara Kannada,Uttara Kannada Town,2025-02-26,02:52:07,Under Investigation,CR01195,VI03427,Inspector Uttara Kannada Town
FIR000026,Fraud,Vijayanagara,Vijayanagara East,2021-12-23,12:12:07,Open,CR00117,VI00584,Inspector Vijayanagara East
FIR000027,Domestic Violence,Belagavi,Market,2026-04-01,03:05:44,Under Investigation,CR00242,VI02894,Inspector Market
FIR000028,Assault,Shivamogga,Shivamogga Town,2023-03-12,00:39:42,Escalated,CR00198,VI01159,Inspector Shivamogga Town
FIR000029,Domestic Violence,Vijayapura,Vijayapura Town,2022-06-06,10:52:52,Pending,CR01580,VI03802,Inspector Vijayapura Town
FIR000030,Cyber Crime,Belagavi,Tilakwadi,2026-03-23,20:56:58,Closed,CR01996,VI04864,Inspector Tilakwadi
FIR000031,Domestic Violence,Hassan,Hassan East,2026-04-12,06:40:07,Closed,CR02021,VI03384,Inspector Hassan East
FIR000032,Fraud,Bengaluru Urban,Electronic City,2025-09-16,17:39:56,Open,CR01528,VI01167,Inspector Electronic City
FIR000033,Traffic Violation,Bidar,Bidar East,2022-07-11,13:59:12,Under Investigation,CR00685,VI03101,Inspector Bidar East
FIR000034,Vandalism,Uttara Kannada,Uttara Kannada Town,2024-08-15,17:54:47,Under Investigation,CR01585,VI03492,Inspector Uttara Kannada Town
FIR000035,Cyber Crime,Mysuru,Nazarbad,2022-07-22,23:00:55,Closed,CR00720,VI01494,Inspector Nazarbad
FIR000036,Theft,Ballari,Ballari Town,2024-04-21,11:48:34,Closed,CR02240,VI00107,Inspector Ballari Town
FIR000037,Assault,Hassan,Hassan Town,2024-11-09,02:11:45,Pending,CR02394,VI02808,Inspector Hassan Town
FIR000038,Fraud,Koppal,Koppal Town,2022-06-26,14:06:33,Under Investigation,CR00398,VI02001,Inspector Koppal Town
FIR000039,Fraud,Dakshina Kannada,Pandeshwar,2026-02-19,09:35:48,Open,CR01976,VI04432,Inspector Pandeshwar
FIR000040,Traffic Violation,Kodagu,Kodagu Rural,2023-06-17,07:50:34,Pending,CR02995,VI00528,Inspector Kodagu Rural
FIR000041,Domestic Violence,Haveri,Haveri East,2022-08-07,13:10:25,Pending,CR01336,VI01845,Inspector Haveri East
FIR000042,Fraud,Raichur,Raichur East,2024-05-22,20:36:39,Closed,CR02301,VI00010,Inspector Raichur East
FIR000043,Domestic Violence,Shivamogga,Shivamogga East,2025-04-10,01:35:30,Escalated,CR00224,VI04098,Inspector Shivamogga East
FIR000044,Traffic Violation,Dharwad,Dharwad Town,2022-01-07,09:32:57,Closed,CR01733,VI00214,Inspector Dharwad Town
FIR000045,Fraud,Bagalkot,Bagalkot Rural,2022-04-15,13:31:56,Under Investigation,CR01789,VI02630,Inspector Bagalkot Rural
FIR000046,Theft,Vijayapura,Vijayapura Town,2024-07-22,09:28:24,Escalated,CR02002,VI01663,Inspector Vijayapura Town
FIR000047,Domestic Violence,Bidar,Bidar East,2024-07-12,14:35:06,Under Investigation,CR01835,VI03808,Inspector Bidar East
FIR000048,Theft,Gadag,Gadag Town,2025-01-02,18:04:49,Under Investigation,CR00675,VI01777,Inspector Gadag Town
FIR000049,Vandalism,Yadgir,Yadgir East,2025-11-11,19:49:48,Closed,CR01079,VI01419,Inspector Yadgir East
FIR000050,Narcotics,Mandya,Mandya Town,2022-11-23,13:19:24,Escalated,CR02838,VI04333,Inspector Mandya Town
FIR000051,Robbery,Chitradurga,Chitradurga Town,2023-02-11,00:41:51,Open,CR02031,VI03894,Inspector Chitradurga Town
FIR000052,Burglary,Chikkaballapur,Chikkaballapur Rural,2023-04-26,20:13:26,Escalated,CR01811,VI03357,Inspector Chikkaballapur Rural
FIR000053,Cyber Crime,Chikkaballapur,Chikkaballapur East,2025-03-02,05:00:18,Escalated,CR00994,VI03357,Inspector Chikkaballapur East
FIR000054,Fraud,Bengaluru Rural,Bengaluru Rural East,2023-05-15,16:17:54,Under Investigation,CR00785,VI00610,Inspector Bengaluru Rural East
FIR000055,Narcotics,Vijayanagara,Vijayanagara East,2024-08-01,04:13:41,Closed,CR01941,VI02231,Inspector Vijayanagara East
FIR000056,Assault,Chitradurga,Chitradurga East,2026-06-15,17:52:46,Escalated,CR00499,VI03894,Inspector Chitradurga East
FIR000057,Cyber Crime,Yadgir,Yadgir Town,2025-06-21,06:05:11,Pending,CR02972,VI00098,Inspector Yadgir Town
FIR000058,Narcotics,Bengaluru Rural,Bengaluru Rural Town,2023-08-20,03:22:36,Closed,CR02480,VI00522,Inspector Bengaluru Rural Town
FIR000059,Domestic Violence,Bidar,Bidar Rural,2025-11-19,03:54:26,Escalated,CR00363,VI04604,Inspector Bidar Rural
FIR000060,Burglary,Belagavi,Market,2022-10-15,22:10:39,Closed,CR00513,VI02307,Inspector Market
FIR000061,Robbery,Gadag,Gadag Rural,2023-10-29,03:33:22,Pending,CR02082,VI03215,Inspector Gadag Rural
FIR000062,Robbery,Mandya,Mandya East,2024-12-28,11:19:07,Pending,CR00620,VI00242,Inspector Mandya East
FIR000063,Burglary,Bagalkot,Bagalkot Rural,2024-12-23,01:36:58,Escalated,CR02007,VI01653,Inspector Bagalkot Rural
FIR000064,Assault,Mysuru,Nazarbad,2025-10-05,03:26:53,Open,CR02420,VI01694,Inspector Nazarbad
FIR000065,Assault,Udupi,Udupi East,2025-06-15,17:08:51,Pending,CR00374,VI01431,Inspector Udupi East
FIR000066,Robbery,Chikkaballapur,Chikkaballapur Rural,2024-09-07,09:39:38,Closed,CR01228,VI01446,Inspector Chikkaballapur Rural
FIR000067,Vandalism,Chitradurga,Chitradurga Rural,2024-05-12,02:29:00,Under Investigation,CR00046,VI04151,Inspector Chitradurga Rural
FIR000068,Vandalism,Raichur,Raichur Rural,2023-10-27,20:04:28,Open,CR02289,VI00375,Inspector Raichur Rural
FIR000069,Traffic Violation,Dharwad,Dharwad Town,2025-02-22,09:55:24,Escalated,CR01826,VI00294,Inspector Dharwad Town
FIR000070,Narcotics,Yadgir,Yadgir Rural,2024-05-24,16:17:01,Under Investigation,CR01972,VI01574,Inspector Yadgir Rural
FIR000071,Narcotics,Mysuru,Lashkar,2023-10-10,04:53:05,Pending,CR00495,VI01079,Inspector Lashkar
FIR000072,Theft,Raichur,Raichur East,2023-07-14,14:19:43,Escalated,CR02820,VI03933,Inspector Raichur East
FIR000073,Cyber Crime,Haveri,Haveri Rural,2026-05-30,13:08:05,Under Investigation,CR01059,VI04613,Inspector Haveri Rural
FIR000074,Vandalism,Kalaburagi,Kalaburagi Rural,2025-12-16,04:16:25,Closed,CR00730,VI02233,Inspector Kalaburagi Rural
FIR000075,Assault,Shivamogga,Shivamogga Town,2023-11-19,17:36:33,Pending,CR02908,VI02839,Inspector Shivamogga Town
FIR000076,Robbery,Chikkaballapur,Chikkaballapur East,2026-06-20,05:05:35,Escalated,CR01776,VI03858,Inspector Chikkaballapur East
FIR000077,Robbery,Ramanagara,Ramanagara Town,2024-01-28,14:28:19,Open,CR02481,VI03153,Inspector Ramanagara Town
FIR000078,Traffic Violation,Raichur,Raichur East,2024-03-09,01:58:15,Open,CR01028,VI00018,Inspector Raichur East
FIR000079,Burglary,Kolar,Kolar Rural,2023-10-09,01:59:54,Open,CR00741,VI04154,Inspector Kolar Rural
FIR000080,Fraud,Kalaburagi,Kalaburagi Rural,2024-07-23,18:11:49,Closed,CR01409,VI00749,Inspector Kalaburagi Rural
FIR000081,Traffic Violation,Gadag,Gadag Rural,2021-10-24,01:58:58,Pending,CR01102,VI03051,Inspector Gadag Rural
FIR000082,Domestic Violence,Hassan,Hassan Town,2025-06-19,07:06:45,Under Investigation,CR00668,VI03446,Inspector Hassan Town
FIR000083,Burglary,Chamarajanagar,Chamarajanagar Town,2024-03-06,03:07:51,Escalated,CR00521,VI02478,Inspector Chamarajanagar Town
FIR000084,Cyber Crime,Uttara Kannada,Uttara Kannada East,2024-08-06,18:10:51,Closed,CR02710,VI01627,Inspector Uttara Kannada East
FIR000085,Fraud,Gadag,Gadag Rural,2021-10-23,12:30:03,Open,CR01765,VI04713,Inspector Gadag Rural
FIR000086,Burglary,Kalaburagi,Kalaburagi Rural,2024-09-04,17:38:29,Pending,CR02317,VI03280,Inspector Kalaburagi Rural
FIR000087,Theft,Mandya,Mandya Rural,2025-06-27,11:14:56,Under Investigation,CR01735,VI01160,Inspector Mandya Rural
FIR000088,Fraud,Dakshina Kannada,Pandeshwar,2024-08-29,21:48:13,Pending,CR02561,VI03411,Inspector Pandeshwar
FIR000089,Domestic Violence,Gadag,Gadag East,2025-03-13,02:24:13,Under Investigation,CR01143,VI03766,Inspector Gadag East
FIR000090,Cyber Crime,Kolar,Kolar Town,2021-12-15,07:57:47,Pending,CR02244,VI02809,Inspector Kolar Town
FIR000091,Traffic Violation,Gadag,Gadag East,2026-05-19,23:48:22,Pending,CR01494,VI03009,Inspector Gadag East
FIR000092,Assault,Gadag,Gadag East,2024-04-03,16:22:04,Open,CR02064,VI03221,Inspector Gadag East
FIR000093,Theft,Dakshina Kannada,Kankanady,2026-06-27,15:25:28,Pending,CR00661,VI02240,Inspector Kankanady
FIR000094,Assault,Vijayapura,Vijayapura Town,2024-07-15,17:17:11,Escalated,CR00386,VI02127,Inspector Vijayapura Town
FIR000095,Theft,Tumakuru,Tumakuru East,2023-12-09,02:13:29,Pending,CR01457,VI04332,Inspector Tumakuru East
FIR000096,Robbery,Davanagere,Davanagere Town,2022-12-21,21:12:13,Closed,CR00516,VI02852,Inspector Davanagere Town
FIR000097,Assault,Vijayanagara,Vijayanagara East,2025-01-01,01:20:14,Closed,CR01430,VI01907,Inspector Vijayanagara East
FIR000098,Fraud,Tumakuru,Tumakuru East,2021-11-19,17:46:52,Open,CR02696,VI00978,Inspector Tumakuru East
FIR000099,Cyber Crime,Ballari,Ballari Rural,2022-01-23,07:55:29,Open,CR00600,VI00193,Inspector Ballari Rural
FIR000100,Burglary,Kolar,Kolar Town,2025-11-24,00:13:08,Escalated,CR00828,VI01802,Inspector Kolar Town
FIR000101,Burglary,Bengaluru Urban,Electronic City,2022-10-26,20:18:46,Open,CR00767,VI03010,Inspector Electronic City
FIR000102,Vandalism,Mysuru,Vijayanagar,2022-10-01,23:12:53,Open,CR01276,VI00108,Inspector Vijayanagar
FIR000103,Traffic Violation,Chamarajanagar,Chamarajanagar East,2023-04-28,08:21:54,Open,CR02640,VI00820,Inspector Chamarajanagar East
FIR000104,Burglary,Bengaluru Urban,Koramangala,2021-07-26,14:20:01,Escalated,CR01292,VI04549,Inspector Koramangala
FIR000105,Theft,Uttara Kannada,Uttara Kannada Rural,2024-07-22,17:50:00,Open,CR02852,VI03119,Inspector Uttara Kannada Rural
FIR000106,Fraud,Chamarajanagar,Chamarajanagar Rural,2022-04-30,00:39:08,Pending,CR01491,VI02540,Inspector Chamarajanagar Rural
FIR000107,Cyber Crime,Vijayanagara,Vijayanagara East,2023-09-18,14:19:28,Under Investigation,CR02190,VI03347,Inspector Vijayanagara East
FIR000108,Theft,Chitradurga,Chitradurga East,2026-05-25,17:51:21,Closed,CR00787,VI04546,Inspector Chitradurga East
FIR000109,Vandalism,Dakshina Kannada,Pandeshwar,2024-09-05,00:13:11,Under Investigation,CR00156,VI00554,Inspector Pandeshwar
FIR000110,Cyber Crime,Haveri,Haveri Rural,2023-07-30,15:32:18,Escalated,CR01057,VI02911,Inspector Haveri Rural
FIR000111,Traffic Violation,Dharwad,Dharwad Town,2023-02-16,10:51:12,Open,CR02249,VI02066,Inspector Dharwad Town
FIR000112,Traffic Violation,Kalaburagi,Kalaburagi Town,2023-09-05,08:38:54,Pending,CR01505,VI04512,Inspector Kalaburagi Town
FIR000113,Cyber Crime,Mysuru,Nazarbad,2024-06-18,16:16:35,Closed,CR00551,VI03057,Inspector Nazarbad
FIR000114,Domestic Violence,Uttara Kannada,Uttara Kannada Town,2024-03-12,10:13:49,Escalated,CR01585,VI04873,Inspector Uttara Kannada Town
FIR000115,Fraud,Davanagere,Davanagere East,2023-12-09,21:04:57,Under Investigation,CR00692,VI03630,Inspector Davanagere East
FIR000116,Robbery,Kodagu,Kodagu East,2024-10-12,09:21:48,Under Investigation,CR02560,VI04199,Inspector Kodagu East
FIR000117,Robbery,Gadag,Gadag Town,2023-04-28,17:57:42,Escalated,CR01833,VI04052,Inspector Gadag Town
FIR000118,Fraud,Mysuru,Devaraja,2026-02-27,06:35:30,Pending,CR00026,VI03655,Inspector Devaraja
FIR000119,Assault,Haveri,Haveri Rural,2024-06-11,14:05:28,Escalated,CR01251,VI01452,Inspector Haveri Rural
FIR000120,Robbery,Dakshina Kannada,Barke,2021-11-20,15:13:53,Closed,CR00981,VI01595,Inspector Barke
FIR000121,Robbery,Bengaluru Rural,Bengaluru Rural Town,2026-04-22,09:18:05,Open,CR02925,VI04751,Inspector Bengaluru Rural Town
FIR000122,Burglary,Koppal,Koppal Rural,2026-04-15,05:47:31,Closed,CR02113,VI01860,Inspector Koppal Rural
FIR000123,Robbery,Tumakuru,Tumakuru East,2022-04-16,03:11:24,Open,CR00118,VI02227,Inspector Tumakuru East
FIR000124,Domestic Violence,Tumakuru,Tumakuru East,2022-07-13,02:23:58,Open,CR02896,VI04304,Inspector Tumakuru East
FIR000125,Fraud,Chikkamagaluru,Chikkamagaluru Town,2024-12-24,03:05:05,Closed,CR00057,VI00790,Inspector Chikkamagaluru Town
FIR000126,Theft,Vijayapura,Vijayapura Rural,2026-06-24,03:38:43,Under Investigation,CR01920,VI00381,Inspector Vijayapura Rural
FIR000127,Traffic Violation,Raichur,Raichur East,2024-08-23,13:40:54,Under Investigation,CR01356,VI02682,Inspector Raichur East
FIR000128,Assault,Ballari,Ballari Rural,2024-01-02,01:18:28,Pending,CR00566,VI00666,Inspector Ballari Rural
FIR000129,Robbery,Bagalkot,Bagalkot East,2025-08-24,20:14:27,Under Investigation,CR02100,VI03228,Inspector Bagalkot East
FIR000130,Robbery,Mysuru,Vijayanagar,2023-12-14,13:27:13,Open,CR02485,VI00665,Inspector Vijayanagar
FIR000131,Assault,Bagalkot,Bagalkot Town,2025-05-23,04:21:03,Escalated,CR01086,VI00333,Inspector Bagalkot Town
FIR000132,Assault,Gadag,Gadag East,2022-10-27,19:45:48,Escalated,CR01313,VI04351,Inspector Gadag East
FIR000133,Assault,Bagalkot,Bagalkot East,2022-11-20,21:06:26,Pending,CR00841,VI03740,Inspector Bagalkot East
FIR000134,Domestic Violence,Tumakuru,Tumakuru Town,2021-09-03,10:21:52,Under Investigation,CR00778,VI02665,Inspector Tumakuru Town
FIR000135,Burglary,Vijayapura,Vijayapura East,2026-05-15,18:17:21,Under Investigation,CR00418,VI01119,Inspector Vijayapura East
FIR000136,Narcotics,Davanagere,Davanagere Rural,2022-02-06,06:17:41,Pending,CR01410,VI01696,Inspector Davanagere Rural
FIR000137,Narcotics,Belagavi,Camp,2025-06-15,05:43:16,Open,CR00824,VI04944,Inspector Camp
FIR000138,Theft,Kodagu,Kodagu Town,2022-04-02,23:03:59,Escalated,CR02784,VI02704,Inspector Kodagu Town
FIR000139,Burglary,Kalaburagi,Kalaburagi Town,2022-01-17,17:49:48,Under Investigation,CR01816,VI01475,Inspector Kalaburagi Town
FIR000140,Narcotics,Yadgir,Yadgir Town,2026-02-19,21:54:21,Under Investigation,CR02841,VI01207,Inspector Yadgir Town
FIR000141,Traffic Violation,Dharwad,Dharwad Town,2024-12-04,00:35:00,Pending,CR02361,VI01823,Inspector Dharwad Town
FIR000142,Burglary,Chikkaballapur,Chikkaballapur Rural,2021-08-01,11:45:53,Closed,CR01902,VI03873,Inspector Chikkaballapur Rural
FIR000143,Traffic Violation,Udupi,Udupi Rural,2025-05-10,06:41:01,Closed,CR02305,VI02575,Inspector Udupi Rural
FIR000144,Vandalism,Mysuru,Vijayanagar,2023-07-27,22:54:06,Pending,CR01465,VI00037,Inspector Vijayanagar
FIR000145,Fraud,Koppal,Koppal Rural,2024-02-29,22:23:53,Open,CR00936,VI02829,Inspector Koppal Rural
FIR000146,Traffic Violation,Belagavi,Camp,2022-02-13,23:11:36,Under Investigation,CR01479,VI01904,Inspector Camp
FIR000147,Fraud,Bengaluru Rural,Bengaluru Rural Rural,2024-06-30,07:42:58,Pending,CR02589,VI01896,Inspector Bengaluru Rural Rural
FIR000148,Narcotics,Raichur,Raichur Town,2023-02-07,05:12:38,Pending,CR02245,VI03930,Inspector Raichur Town
FIR000149,Traffic Violation,Chikkamagaluru,Chikkamagaluru Rural,2023-08-25,16:03:52,Escalated,CR00062,VI03174,Inspector Chikkamagaluru Rural
FIR000150,Burglary,Bidar,Bidar Town,2024-11-12,08:55:50,Closed,CR02592,VI00191,Inspector Bidar Town
FIR000151,Burglary,Vijayapura,Vijayapura Rural,2021-09-02,18:35:15,Under Investigation,CR01820,VI00754,Inspector Vijayapura Rural
FIR000152,Fraud,Dakshina Kannada,Kankanady,2025-10-20,06:57:33,Escalated,CR02867,VI02092,Inspector Kankanady
FIR000153,Theft,Uttara Kannada,Uttara Kannada East,2022-10-03,01:34:10,Under Investigation,CR00173,VI01509,Inspector Uttara Kannada East
FIR000154,Cyber Crime,Kodagu,Kodagu East,2022-02-16,11:36:00,Closed,CR01303,VI04348,Inspector Kodagu East
FIR000155,Fraud,Gadag,Gadag East,2022-03-03,23:17:18,Closed,CR02558,VI02902,Inspector Gadag East
FIR000156,Traffic Violation,Bengaluru Rural,Bengaluru Rural Town,2021-08-13,03:24:24,Open,CR00090,VI00558,Inspector Bengaluru Rural Town
FIR000157,Robbery,Yadgir,Yadgir Town,2021-09-24,05:44:16,Escalated,CR02445,VI03590,Inspector Yadgir Town
FIR000158,Cyber Crime,Dharwad,Dharwad Town,2024-08-20,16:49:20,Under Investigation,CR00529,VI02927,Inspector Dharwad Town
FIR000159,Domestic Violence,Kolar,Kolar Rural,2025-12-18,07:12:40,Escalated,CR02834,VI01185,Inspector Kolar Rural
FIR000160,Traffic Violation,Shivamogga,Shivamogga Town,2023-08-02,10:01:57,Closed,CR00188,VI03966,Inspector Shivamogga Town
FIR000161,Traffic Violation,Vijayanagara,Vijayanagara East,2023-07-14,20:36:05,Open,CR01430,VI02932,Inspector Vijayanagara East
FIR000162,Domestic Violence,Bagalkot,Bagalkot Town,2021-09-27,07:30:06,Pending,CR00607,VI03857,Inspector Bagalkot Town
FIR000163,Robbery,Udupi,Udupi East,2023-06-16,15:52:18,Under Investigation,CR01109,VI01953,Inspector Udupi East
FIR000164,Burglary,Uttara Kannada,Uttara Kannada Rural,2025-12-13,15:52:03,Pending,CR00392,VI04800,Inspector Uttara Kannada Rural
FIR000165,Vandalism,Ballari,Ballari East,2024-10-18,01:18:36,Under Investigation,CR00863,VI00111,Inspector Ballari East
FIR000166,Narcotics,Gadag,Gadag East,2024-01-17,01:24:52,Open,CR01233,VI03960,Inspector Gadag East
FIR000167,Fraud,Bengaluru Rural,Bengaluru Rural Rural,2023-01-17,01:17:59,Escalated,CR01895,VI03318,Inspector Bengaluru Rural Rural
FIR000168,Domestic Violence,Bengaluru Urban,Cubbon Park,2024-11-03,05:24:04,Escalated,CR01104,VI00499,Inspector Cubbon Park
FIR000169,Burglary,Gadag,Gadag East,2026-06-02,22:41:00,Under Investigation,CR02497,VI03343,Inspector Gadag East
FIR000170,Vandalism,Dharwad,Dharwad Rural,2026-04-09,14:32:26,Escalated,CR01564,VI03418,Inspector Dharwad Rural
FIR000171,Vandalism,Ballari,Ballari East,2024-06-19,04:01:10,Under Investigation,CR01373,VI02608,Inspector Ballari East
FIR000172,Assault,Chitradurga,Chitradurga Town,2021-10-05,13:51:28,Open,CR02945,VI01448,Inspector Chitradurga Town
FIR000173,Vandalism,Bidar,Bidar East,2022-06-25,16:24:02,Closed,CR00445,VI00746,Inspector Bidar East
FIR000174,Fraud,Kalaburagi,Kalaburagi Town,2024-02-08,13:58:31,Escalated,CR00730,VI00855,Inspector Kalaburagi Town
FIR000175,Cyber Crime,Davanagere,Davanagere Town,2024-03-02,06:46:45,Escalated,CR01345,VI00908,Inspector Davanagere Town
FIR000176,Theft,Dharwad,Dharwad Rural,2022-09-24,17:14:12,Pending,CR01240,VI04254,Inspector Dharwad Rural
FIR000177,Theft,Ramanagara,Ramanagara Rural,2023-11-02,01:23:11,Closed,CR00842,VI01334,Inspector Ramanagara Rural
FIR000178,Narcotics,Ballari,Ballari Town,2022-06-03,18:19:25,Pending,CR01154,VI04195,Inspector Ballari Town
FIR000179,Robbery,Kalaburagi,Kalaburagi East,2021-08-25,06:22:42,Under Investigation,CR01505,VI00504,Inspector Kalaburagi East
FIR000180,Assault,Ballari,Ballari East,2022-12-23,08:58:34,Pending,CR00646,VI01594,Inspector Ballari East
FIR000181,Vandalism,Yadgir,Yadgir Town,2025-05-30,13:44:55,Escalated,CR01348,VI01188,Inspector Yadgir Town
FIR000182,Burglary,Chitradurga,Chitradurga Rural,2021-12-29,19:22:40,Closed,CR02166,VI02495,Inspector Chitradurga Rural
FIR000183,Traffic Violation,Kodagu,Kodagu Rural,2023-09-01,06:42:25,Escalated,CR01638,VI02572,Inspector Kodagu Rural
FIR000184,Traffic Violation,Mysuru,Vijayanagar,2023-08-01,02:10:32,Open,CR00434,VI04062,Inspector Vijayanagar
FIR000185,Robbery,Ballari,Ballari East,2021-10-01,22:59:33,Under Investigation,CR02496,VI01942,Inspector Ballari East
FIR000186,Fraud,Gadag,Gadag Town,2021-08-01,09:20:12,Open,CR02018,VI04034,Inspector Gadag Town
FIR000187,Robbery,Hassan,Hassan East,2021-12-22,07:22:15,Pending,CR02530,VI02022,Inspector Hassan East
FIR000188,Narcotics,Davanagere,Davanagere Town,2022-08-24,18:17:23,Open,CR00596,VI01959,Inspector Davanagere Town
FIR000189,Burglary,Bagalkot,Bagalkot Town,2021-12-30,05:44:02,Escalated,CR00797,VI00152,Inspector Bagalkot Town
FIR000190,Burglary,Raichur,Raichur Town,2025-05-23,04:12:07,Escalated,CR00852,VI02825,Inspector Raichur Town
FIR000191,Cyber Crime,Chikkaballapur,Chikkaballapur Rural,2024-06-08,05:20:27,Closed,CR01089,VI02437,Inspector Chikkaballapur Rural
FIR000192,Assault,Ballari,Ballari Rural,2024-07-26,18:56:37,Under Investigation,CR02568,VI00125,Inspector Ballari Rural
FIR000193,Robbery,Raichur,Raichur Rural,2025-03-14,01:42:34,Pending,CR01027,VI03785,Inspector Raichur Rural
FIR000194,Theft,Bagalkot,Bagalkot Rural,2022-01-02,11:55:20,Pending,CR00527,VI01308,Inspector Bagalkot Rural
FIR000195,Robbery,Vijayapura,Vijayapura Rural,2025-02-26,15:06:00,Under Investigation,CR01155,VI04794,Inspector Vijayapura Rural
FIR000196,Burglary,Gadag,Gadag Rural,2021-09-22,18:26:50,Under Investigation,CR01236,VI03852,Inspector Gadag Rural
FIR000197,Assault,Koppal,Koppal Rural,2024-07-01,03:55:25,Pending,CR01034,VI01145,Inspector Koppal Rural
FIR000198,Domestic Violence,Bengaluru Rural,Bengaluru Rural Rural,2024-10-27,18:28:38,Pending,CR01858,VI02118,Inspector Bengaluru Rural Rural
FIR000199,Traffic Violation,Belagavi,Tilakwadi,2026-01-22,13:07:28,Escalated,CR01290,VI01046,Inspector Tilakwadi
FIR000200,Assault,Kalaburagi,Kalaburagi East,2023-01-05,11:47:21,Under Investigation,CR00187,VI00071,Inspector Kalaburagi East
FIR000201,Fraud,Kolar,Kolar East,2025-09-09,14:21:09,Pending,CR01565,VI04164,Inspector Kolar East
FIR000202,Assault,Dharwad,Dharwad East,2022-11-23,07:00:25,Under Investigation,CR00354,VI04100,Inspector Dharwad East
FIR000203,Fraud,Kodagu,Kodagu Town,2023-05-09,03:32:37,Closed,CR02585,VI02018,Inspector Kodagu Town
FIR000204,Vandalism,Hassan,Hassan Town,2026-06-10,00:14:52,Escalated,CR00049,VI02586,Inspector Hassan Town
FIR000205,Traffic Violation,Chitradurga,Chitradurga Town,2023-01-14,04:36:45,Closed,CR00233,VI01353,Inspector Chitradurga Town
FIR000206,Vandalism,Chitradurga,Chitradurga East,2024-11-30,03:10:00,Pending,CR00909,VI04629,Inspector Chitradurga East
FIR000207,Assault,Udupi,Udupi Town,2022-11-20,22:20:01,Escalated,CR00703,VI02912,Inspector Udupi Town
FIR000208,Traffic Violation,Belagavi,Market,2022-12-26,14:14:23,Closed,CR00819,VI00005,Inspector Market
